Symbol,Date,Open,High,Low,Close,Volume
BATA,2015,645,654.16,644.99,654.16,1166
BATA,2015,650,680,635,654.16,32
BATA,2015,679,679,635,654.16,9
BATA,2015,650,660,650,654.16,30
BATA,2015,653.99,653.99,653.99,634.16,1
BATA,2015,624,658,623,634.16,3
BATA,2015,665,665,615,620.42,63
BATA,2015,593,650,591,649.17,345
BATA,2015,676.85,676.85,676.85,649.17,1
BATA,2015,680,680,627,649.17,15
BATA,2015,681.62,681.62,650,678.19,96
BATA,2015,710,710,650,687.06,73
BATA,2015,656.2,696,653,655.49,79
BATA,2015,688.26,688.26,650,675.57,72
BATA,2015,651,690,651,664.49,157
BATA,2015,655,655,650,664.49,15
BATA,2015,650,664.49,645,664.49,31
BATA,2015,661,661,632,632.91,75
BATA,2015,663,663,649,649.97,108
BATA,2015,625,674.99,621.01,674.8,1012
BATA,2015,651,700,641.23,674.32,139
BATA,2015,674,674.32,652.01,674.32,12
BATA,2015,641,641,641,674.32,10
BATA,2015,641,690,641,643,241
BATA,2015,674,674,674,643,1
BATA,2015,649,670,640,648.87,106
BATA,2015,669,670,669,648.87,12
BATA,2015,660,660,616.43,631.73,175
BATA,2015,650,650,639,631.73,2
BATA,2015,649.24,650,620,644.22,49
BATA,2015,670,670,620,640,65
BATA,2015,640,649.99,620,620.97,128
BATA,2015,639,639,630,636.36,57
BATA,2015,621,635.5,620,636.36,9
BATA,2015,665,665,620,636.36,13
BATA,2015,665,665,604.7,613.1,52
BATA,2015,643,643,610,613.1,7
BATA,2015,643,643,610.01,613.1,3
BATA,2015,643.75,643.75,630,635.01,252
BATA,2015,664.99,664.99,637,646.63,505
BATA,2015,664.98,665,630,650,1439
BATA,2015,682.5,682.5,650,653.87,156
BATA,2015,660,686.56,660,653.87,10
BATA,2015,640,640,630,639.56,213
BATA,2015,671.1,671.1,630,639.56,17
BATA,2015,671.53,671.53,625.01,639.56,4
BATA,2015,640,640,640,640,100
BATA,2015,671.99,671.99,671.99,640,2
BATA,2015,640,640,640,640,10
BATA,2015,608,659.98,608,654.95,3004
BATA,2015,650,660,640,654.84,145
BATA,2015,649,649,649,654.84,1
BATA,2015,649.99,649.99,649.99,650,1
BATA,2015,676.99,676.99,620.02,648.72,4550
BATA,2015,674,681.15,635.01,681.15,3723
BATA,2015,700,715.15,700,701.07,309
BATA,2015,735,736,680.02,701.07,12
BATA,2015,680,686,670,683.3,80
BATA,2016,660,660,660,660,200
BATA,2016,662,662,631,633.4,113
BATA,2016,665.07,665.07,665.07,633.4,1
BATA,2016,633,664,633,633.4,20
BATA,2016,633,662.98,631,640.01,1477
BATA,2016,660,660,660,640.01,6
BATA,2016,651,672.01,651,669,40
BATA,2016,700,700,669,669,1
BATA,2016,650.01,670,650.01,650.12,182
BATA,2016,620.1,680,620.1,674.39,1029
BATA,2016,675,675,673.99,674,66
BATA,2016,660,675,655,663.82,108
BATA,2016,646.01,694.99,646.01,694.99,300
BATA,2016,690,695,690,695,200
BATA,2016,700,700,700,700,600
BATA,2016,665,709,665,675,200
BATA,2016,700,700,665.05,700,3800
BATA,2016,709,709,672,700,1300
BATA,2016,694,700,694,700,150
BATA,2016,725,735,720,735,650
BATA,2016,771.75,771.75,702,716,5100
BATA,2016,751.8,751.8,750,750,450
BATA,2016,726.05,787,726.05,752,3250
BATA,2016,789,789.6,789,789.6,100
BATA,2016,780,829.08,780,829.08,1150
BATA,2016,870.53,870.53,870.53,870.53,100
BATA,2016,914.05,914.05,914.05,914.05,450
BATA,2016,959.75,959.75,959.75,959.75,200
BATA,2016,1007.73,1007.73,1007.73,1007.73,2000
BATA,2016,1000,1058.11,960,1058.11,3300
BATA,2016,1109,1111.01,1057,1111,2050
BATA,2016,1060,1125,1060,1124.7,450
BATA,2016,1110,1110.5,1068.47,1099.99,6600
BATA,2016,1050,1134.5,1045,1050.5,6800
BATA,2016,1000.01,1094.9,1000.01,1050,850
BATA,2016,1099.99,1099.99,997.5,1000,300
BATA,2016,950,950,950,950,100
BATA,2016,996,997.5,950,989,1450
BATA,2016,1037,1038.45,950,1028.99,1350
BATA,2016,1049.99,1078.99,1000,1002,1950
BATA,2016,1024,1024.99,960,960.02,1750
BATA,2016,915.01,998.99,915.01,950.51,1550
BATA,2016,994.99,995,950.01,977.75,650
BATA,2016,960.05,1025,960.01,984,2100
BATA,2016,950.01,1021,950.01,963.53,300
BATA,2016,1000,1011.5,970.01,999.25,900
BATA,2016,1010,1049,1010,1010.1,550
BATA,2016,1012,1060,961.55,1013.33,2750
BATA,2016,1059,1059,971,1015,2250
BATA,2016,1014.99,1035,975.02,1035,450
BATA,2016,1049.99,1082,1001,1055.55,1500
BATA,2016,1099.99,1100,1051,1100,400
BATA,2016,1134.99,1154.99,1071,1124,3300
BATA,2016,1100,1100,1070,1070,200
BATA,2016,1060,1060,1060,1060,50
BATA,2016,1040,1106,1040,1106,200
BATA,2016,1050.7,1100,1050.7,1100,350
BATA,2016,1140,1155,1140,1155,900
BATA,2016,1212.75,1212.75,1150.01,1190,950
BATA,2016,1130.51,1249.5,1130.51,1249.5,2500
BATA,2016,1311,1311.97,1280,1311.97,700
BATA,2016,1377.56,1377.56,1377,1377.56,1100
